Customer ID,Credit Score,Annual Income,Debt-to-Income Ratio,Total Debt,Loan Amount,Loan Term,Loan Repayment History,Account Balance,Monthly Expenditure,Credit Card Utilization,Default History,Employment Status,Collateral Value,Risk Grade
10001,750,120000,0.25,50000,30000,5,on time,10000,5000,0.3,no,employed,20000,low
10002,680,90000,0.35,70000,40000,10,late,8000,6000,0.4,yes,self-employed,15000,medium
10003,820,180000,0.2,100000,60000,7,on time,12000,7000,0.2,no,unemployed,25000,low
10004,740,110000,0.3,80000,50000,8,late,9000,6500,0.35,yes,employed,18000,medium
10005,660,80000,0.4,90000,70000,9,on time,11000,7500,0.45,no,self-employed,20000,high
10006,780,160000,0.15,60000,40000,6,late,13000,8000,0.25,yes,unemployed,22000,medium
10007,720,130000,0.25,70000,50000,4,on time,10000,5500,0.3,no,employed,15000,low
10008,640,70000,0.35,80000,60000,11,late,9000,7000,0.4,yes,self-employed,18000,high
10009,800,190000,0.1,50000,30000,3,on time,12000,9000,0.2,no,unemployed,25000,low
10010,760,140000,0.2,60000,40000,5,late,11000,6000,0.25,yes,employed,22000,medium
10011,700,120000,0.3,80000,70000,10,on time,10000,7000,0.35,no,self-employed,20000,low
10012,820,170000,0.15,40000,20000,4,on time,12000,8000,0.2,no,unemployed,25000,low
10013,740,150000,0.2,50000,30000,6,late,10000,6000,0.25,yes,employed,18000,medium
10014,660,100000,0.35,80000,60000,9,on time,9000,7000,0.4,no,self-employed,20000,high
10015,780,160000,0.1,50000,30000,3,on time,11000,8000,0.2,no,unemployed,22000,low
10016,850,220000,0.05,30000,25000,5,on time,14000,10000,0.15,no,employed,28000,low
10017,680,95000,0.4,90000,80000,12,late,11000,8000,0.45,yes,self-employed,24000,high
10018,810,210000,0.1,60000,40000,7,on time,13000,9000,0.2,no,unemployed,30000,low
10019,720,130000,0.25,70000,50000,4,on time,10000,5500,0.3,no,employed,15000,low
10020,640,70000,0.35,80000,60000,11,late,9000,7000,0.4,yes,self-employed,18000,high
10021,800,190000,0.1,50000,30000,3,on time,12000,9000,0.2,no,unemployed,25000,low
10022,760,140000,0.2,60000,40000,5,late,11000,6000,0.25,yes,employed,22000,medium
10023,700,120000,0.3,80000,70000,10,on time,10000,7000,0.35,no,self-employed,20000,low
10024,820,170000,0.15,40000,20000,4,on time,12000,8000,0.2,no,unemployed,25000,low
10025,740,150000,0.2,50000,30000,6,late,10000,6000,0.25,yes,employed,18000,medium
10026,660,100000,0.35,80000,60000,9,on time,9000,7000,0.4,no,self-employed,20000,high
10027,780,160000,0.1,50000,30000,3,on time,11000,8000,0.2,no,unemployed,22000,low
10028,850,220000,0.05,30000,25000,5,on time,14000,10000,0.15,no,employed,28000,low
10029,680,95000,0.4,90000,80000,12,late,11000,8000,0.45,yes,self-employed,24000,high
10030,810,210000,0.1,60000,40000,7,on time,13000,9000,0.2,no,unemployed,30000,low
10031,720,130000,0.25,55000,35000,8,late,9000,6500,0.3,yes,employed,19000,medium
10032,790,190000,0.08,35000,28000,4,on time,16000,9500,0.18,no,self-employed,31000,low
10033,670,90000,0.38,80000,70000,11,late,12000,7500,0.42,yes,unemployed,22000,high
10034,840,250000,0.04,40000,32000,6,on time,18000,10000,0.17,no,employed,33000,low
10035,760,140000,0.22,60000,45000,9,late,11000,6000,0.27,yes,self-employed,20000,medium
10036,820,180000,0.12,50000,38000,5,on time,15000,9000,0.22,no,unemployed,29000,low
10037,780,160000,0.18,55000,42000,7,late,14000,7000,0.28,yes,employed,24000,medium
10038,730,110000,0.3,70000,55000,10,on time,13000,6500,0.32,no,self-employed,21000,high
10039,850,220000,0.06,45000,35000,4,on time,17000,10500,0.19,no,unemployed,32000,low
10040,810,200000,0.1,70000,52000,8,late,16000,8500,0.24,yes,employed,28000,medium
10041,760,130000,0.24,60000,40000,9,on time,13000,6500,0.26,no,self-employed,20000,low
10042,830,240000,0.05,50000,38000,6,on time,19000,11500,0.21,no,unemployed,35000,low
10043,790,190000,0.09,45000,32000,5,late,18000,10500,0.26,yes,employed,31000,medium
10044,680,90000,0.38,80000,70000,12,late,14000,8000,0.42,yes,self-employed,24000,high
10045,810,200000,0.1,70000,52000,8,late,16000,8500,0.24,yes,unemployed,28000,medium
10046,820,180000,0.12,50000,38000,5,on time,15000,9000,0.22,no,employed,29000,low
10047,780,160000,0.18,55000,42000,7,late,14000,7000,0.28,yes,self-employed,24000,medium
10048,730,110000,0.3,70000,55000,10,on time,13000,6500,0.32,no,unemployed,21000,high
10049,850,220000,0.06,45000,35000,4,on time,17000,10500,0.19,no,employed,32000,low
10050,810,200000,0.1,70000,52000,8,late,16000,8500,0.24,yes,self-employed,28000,medium
10051,750,120000,0.3,50000,20000,5,on time,10000,5000,0.4,FALSE,employed,20000,low
10052,620,80000,0.5,30000,10000,10,late,8000,4000,0.6,TRUE,self-employed,15000,medium
10053,820,180000,0.2,60000,30000,20,on time,15000,7000,0.3,FALSE,unemployed,25000,high
10054,580,60000,0.6,40000,20000,15,missed,6000,3000,0.7,TRUE,employed,20000,medium
10055,740,140000,0.4,70000,40000,25,on time,12000,6000,0.5,FALSE,self-employed,30000,low
10056,660,70000,0.5,50000,30000,30,late,7000,3500,0.6,TRUE,unemployed,25000,medium
10057,820,200000,0.1,80000,50000,35,on time,18000,9000,0.2,FALSE,employed,35000,high
10058,540,50000,0.7,60000,40000,40,missed,5000,2500,0.8,TRUE,self-employed,28000,medium
10059,760,160000,0.3,90000,60000,45,on time,16000,8000,0.4,FALSE,unemployed,38000,low
10060,680,90000,0.4,70000,50000,50,late,9000,4500,0.5,TRUE,employed,32000,medium
10061,840,220000,0.05,100000,70000,55,on time,22000,11000,0.1,FALSE,self-employed,42000,high
10062,620,40000,0.8,80000,60000,60,missed,4000,2000,0.9,TRUE,unemployed,30000,medium
10063,780,180000,0.2,90000,80000,65,on time,18000,9000,0.2,FALSE,employed,45000,low
10064,700,100000,0.5,70000,70000,70,late,10000,5000,0.6,TRUE,self-employed,35000,medium
10065,860,280000,0.03,110000,90000,75,on time,28000,14000,0.03,FALSE,unemployed,52000,high
10066,640,35000,0.9,90000,80000,80,missed,3500,1750,0.95,TRUE,employed,29000,medium
10067,740,140000,0.15,100000,90000,85,on time,14000,7000,0.15,FALSE,self-employed,48000,low
10068,820,240000,0.05,120000,100000,90,late,24000,12000,0.05,TRUE,unemployed,52000,high
10069,660,42000,0.85,110000,90000,95,missed,4200,2100,0.97,TRUE,employed,31000,medium
10070,760,160000,0.2,120000,100000,100,on time,16000,8000,0.2,FALSE,self-employed,49000,low
10071,720,120000,0.3,130000,110000,105,late,12000,6000,0.3,TRUE,unemployed,42000,medium
10072,800,260000,0.04,140000,120000,110,on time,26000,13000,0.04,FALSE,employed,55000,high
10073,740,140000,0.15,150000,130000,115,late,14000,7000,0.15,TRUE,self-employed,50000,low
10074,820,240000,0.05,160000,140000,120,on time,24000,12000,0.05,FALSE,unemployed,58000,high
10075,660,42000,0.85,170000,150000,125,missed,4200,2100,0.97,TRUE,employed,33000,medium
10076,760,160000,0.2,180000,160000,130,on time,16000,8000,0.2,FALSE,self-employed,51000,low
10077,720,120000,0.3,190000,170000,135,late,12000,6000,0.3,TRUE,unemployed,44000,medium
10078,800,260000,0.04,200000,180000,140,on time,26000,13000,0.04,FALSE,employed,57000,high
10079,740,140000,0.15,210000,190000,145,late,14000,7000,0.15,TRUE,self-employed,52000,low
10080,820,240000,0.05,220000,200000,150,on time,24000,12000,0.05,FALSE,unemployed,60000,high
10081,660,42000,0.85,230000,210000,155,missed,4200,2100,0.97,TRUE,employed,35000,medium
10082,760,160000,0.2,240000,220000,160,on time,16000,8000,0.2,FALSE,self-employed,53000,low
10083,720,120000,0.3,250000,230000,165,late,12000,6000,0.3,TRUE,unemployed,46000,medium
10084,800,260000,0.04,260000,240000,170,on time,26000,13000,0.04,FALSE,employed,60000,high
10085,740,140000,0.15,270000,250000,175,late,14000,7000,0.15,TRUE,self-employed,54000,low
10086,680,50000,0.6,280000,260000,180,missed,5000,2500,0.8,TRUE,unemployed,38000,medium
10087,780,300000,0.02,290000,270000,185,on time,30000,15000,0.02,FALSE,employed,67000,high
10088,700,180000,0.25,300000,280000,190,late,18000,9000,0.25,TRUE,self-employed,49000,low
10089,840,380000,0.01,310000,290000,195,on time,38000,19000,0.01,FALSE,unemployed,73000,high
10090,780,320000,0.03,320000,300000,200,late,32000,16000,0.03,TRUE,employed,69000,medium
10091,820,420000,0.005,330000,310000,205,on time,42000,21000,0.005,FALSE,self-employed,78000,high
10092,760,200000,0.2,340000,320000,210,late,20000,10000,0.2,TRUE,unemployed,53000,medium
10093,860,480000,0.001,350000,330000,215,on time,48000,24000,0.001,FALSE,employed,88000,high
10094,800,360000,0.02,360000,340000,220,late,36000,18000,0.02,TRUE,self-employed,74000,low
10095,820,440000,0.005,370000,350000,225,on time,44000,22000,0.005,FALSE,unemployed,82000,high
10096,780,280000,0.03,380000,360000,230,late,28000,14000,0.03,TRUE,employed,71000,medium
10097,860,520000,0.001,390000,370000,235,on time,52000,26000,0.001,FALSE,self-employed,92000,high
10098,800,400000,0.02,400000,380000,240,late,40000,20000,0.02,TRUE,unemployed,78000,low
10099,820,480000,0.005,410000,390000,245,on time,48000,24000,0.005,FALSE,employed,88000,high
10100,780,300000,0.03,420000,400000,250,late,30000,15000,0.03,TRUE,self-employed,74000,medium
10101,860,560000,0.001,430000,410000,255,on time,56000,28000,0.001,FALSE,unemployed,98000,high
10102,800,440000,0.02,440000,420000,260,late,44000,22000,0.02,TRUE,employed,82000,low
10103,820,520000,0.005,450000,430000,265,on time,52000,26000,0.005,FALSE,self-employed,92000,high
10104,780,380000,0.03,460000,440000,270,late,38000,19000,0.03,TRUE,unemployed,77000,medium
10105,860,600000,0.001,470000,450000,275,on time,60000,30000,0.001,FALSE,employed,108000,high
10106,840,580000,0.002,480000,460000,280,on time,58000,29000,0.002,FALSE,self-employed,102000,high
10107,820,500000,0.006,490000,470000,285,late,50000,25000,0.006,TRUE,unemployed,94000,medium
10108,800,420000,0.04,500000,480000,290,on time,42000,21000,0.04,FALSE,employed,86000,low
10109,780,340000,0.05,510000,490000,295,late,34000,17000,0.05,TRUE,self-employed,79000,medium
10110,860,620000,0.001,520000,500000,300,on time,62000,31000,0.001,FALSE,unemployed,118000,high
10111,820,480000,0.008,530000,510000,305,late,48000,24000,0.008,TRUE,employed,98000,medium
10112,800,400000,0.02,540000,520000,310,on time,40000,20000,0.02,FALSE,self-employed,90000,low
10113,780,320000,0.03,550000,530000,315,late,32000,16000,0.03,TRUE,unemployed,82000,medium
10114,860,640000,0.001,560000,540000,320,on time,64000,32000,0.001,FALSE,employed,124000,high
10115,820,500000,0.006,570000,550000,325,late,50000,25000,0.006,TRUE,self-employed,104000,medium
10116,800,420000,0.04,580000,560000,330,on time,42000,21000,0.04,FALSE,unemployed,98000,low
10117,780,340000,0.05,590000,570000,335,late,34000,17000,0.05,TRUE,employed,92000,medium
10118,860,620000,0.001,600000,580000,340,on time,62000,31000,0.001,FALSE,self-employed,128000,high
10119,820,480000,0.008,610000,590000,345,late,48000,24000,0.008,TRUE,unemployed,110000,medium
10120,800,400000,0.02,620000,600000,350,on time,40000,20000,0.02,FALSE,employed,100000,low
10121,780,320000,0.03,630000,610000,355,late,32000,16000,0.03,TRUE,self-employed,96000,medium
10122,860,640000,0.001,640000,620000,360,on time,64000,32000,0.001,FALSE,unemployed,132000,high
10123,820,500000,0.006,650000,630000,365,late,50000,25000,0.006,TRUE,employed,114000,medium
10124,800,420000,0.04,660000,640000,370,on time,42000,21000,0.04,FALSE,self-employed,106000,low
10125,780,340000,0.05,670000,650000,375,late,34000,17000,0.05,TRUE,unemployed,100000,medium
10126,830,560000,0.007,680000,660000,380,on time,56000,28000,0.007,FALSE,employed,124000,medium
10127,850,680000,0.002,690000,670000,385,late,68000,34000,0.002,TRUE,self-employed,146000,high
10128,810,480000,0.009,700000,680000,390,on time,48000,24000,0.009,FALSE,unemployed,118000,low
10129,790,360000,0.06,710000,690000,395,late,36000,18000,0.06,TRUE,employed,98000,medium
10130,820,580000,0.004,720000,700000,400,on time,58000,29000,0.004,FALSE,self-employed,132000,high
10131,840,700000,0.001,730000,710000,405,late,70000,35000,0.001,TRUE,unemployed,152000,medium
10132,810,440000,0.011,740000,720000,410,on time,44000,22000,0.011,FALSE,employed,122000,low
10133,830,520000,0.005,750000,730000,415,late,52000,26000,0.005,TRUE,self-employed,140000,high
10134,820,620000,0.003,760000,740000,420,on time,62000,31000,0.003,FALSE,unemployed,136000,medium
10135,850,720000,0.001,770000,750000,425,late,72000,36000,0.001,TRUE,employed,164000,high
10136,810,460000,0.012,780000,760000,430,on time,46000,23000,0.012,FALSE,self-employed,126000,low
10137,830,540000,0.004,790000,770000,435,late,54000,27000,0.004,TRUE,unemployed,144000,medium
10138,820,630000,0.002,800000,780000,440,on time,63000,31500,0.002,FALSE,employed,138000,high
10139,850,740000,0.001,810000,790000,445,late,74000,37000,0.001,TRUE,self-employed,172000,medium
10140,810,490000,0.013,820000,800000,450,on time,49000,24500,0.013,FALSE,unemployed,130000,low
10141,830,560000,0.005,830000,810000,455,late,56000,28000,0.005,TRUE,employed,152000,high
10142,820,620000,0.003,840000,820000,460,on time,62000,31000,0.003,FALSE,self-employed,142000,medium
10143,850,720000,0.001,850000,830000,465,late,72000,36000,0.001,TRUE,unemployed,184000,high
10144,810,480000,0.014,860000,840000,470,on time,48000,24000,0.014,FALSE,employed,134000,low
10145,830,540000,0.004,870000,850000,475,late,54000,27000,0.004,TRUE,self-employed,156000,medium
10146,820,650000,0.002,880000,860000,480,on time,65000,32500,0.002,FALSE,employed,140000,high
10147,850,750000,0.001,890000,870000,485,late,75000,37500,0.001,TRUE,unemployed,178000,medium
10148,810,470000,0.012,900000,880000,490,on time,47000,23500,0.012,FALSE,self-employed,126000,low
10149,830,580000,0.005,910000,890000,495,late,58000,29000,0.005,TRUE,employed,154000,high
10150,820,620000,0.003,920000,900000,500,on time,62000,31000,0.003,FALSE,unemployed,144000,medium
10151,750,120000,0.25,30000,20000,5,on time,15000,1000,0.5,none,employed,10000,low
10152,680,80000,0.35,28000,18000,7,late,18000,1200,0.7,previous,self-employed,8000,medium
10153,920,160000,0.15,24000,16000,3,on time,20000,1500,0.3,none,employed,12000,low
10154,780,100000,0.3,32000,22000,10,late,22000,1300,0.6,previous,self-employed,10000,medium
10155,640,60000,0.4,40000,28000,8,missed,28000,1100,0.8,previous,unemployed,6000,high
10156,860,140000,0.2,20000,14000,4,on time,20000,1400,0.4,none,employed,12000,low
10157,720,90000,0.25,36000,24000,9,late,24000,1300,0.5,previous,self-employed,9000,medium
10158,980,180000,0.1,12000,18000,2,on time,18000,1600,0.2,none,employed,15000,low
10159,660,70000,0.35,42000,30000,11,late,30000,1200,0.6,previous,unemployed,7000,high
10160,940,160000,0.15,24000,16000,6,on time,20000,1500,0.3,none,employed,12000,low
10161,780,100000,0.3,32000,22000,12,late,22000,1300,0.6,previous,self-employed,10000,medium
10162,820,110000,0.25,28000,20000,5,on time,20000,1200,0.5,none,employed,11000,low
10163,940,180000,0.1,12000,18000,3,on time,18000,1600,0.2,none,employed,15000,low
10164,700,80000,0.3,36000,24000,10,late,24000,1300,0.6,previous,self-employed,9000,medium
10165,960,200000,0.05,10000,20000,1,on time,20000,1800,0.1,none,employed,17000,low
10166,750,62000,0.28,28000,18000,8,late,18000,1100,0.45,previous,unemployed,8000,medium
10167,910,250000,0.08,20000,25000,4,on time,25000,2000,0.15,none,self-employed,22000,low
10168,680,54000,0.32,34000,22000,9,late,22000,1200,0.55,previous,unemployed,7000,high
10169,830,130000,0.2,26000,19000,7,on time,19000,1400,0.4,none,employed,13000,low
10170,720,42000,0.29,31000,20000,10,late,20000,1100,0.5,previous,self-employed,6000,medium
10171,880,300000,0.06,15000,30000,2,on time,30000,2400,0.1,none,employed,28000,low
10172,640,49000,0.33,36000,24000,11,late,24000,1300,0.6,previous,unemployed,7000,high
10173,850,220000,0.09,22000,22000,5,on time,22000,1800,0.2,none,employed,20000,low
10174,780,140000,0.21,28000,20000,8,late,20000,1400,0.45,previous,self-employed,14000,medium
10175,920,280000,0.04,12000,28000,1,on time,28000,2400,0.08,none,employed,26000,low
10176,740,50000,0.3,32000,22000,9,late,22000,1200,0.55,previous,unemployed,6000,high
10177,870,190000,0.07,14000,19000,3,on time,19000,1600,0.15,none,employed,17000,low
10178,760,67000,0.24,29000,20000,6,late,20000,1300,0.4,previous,self-employed,9000,medium
10179,930,380000,0.02,10000,38000,2,on time,38000,3200,0.06,none,employed,36000,low
10180,690,45000,0.34,37000,24000,10,late,24000,1200,0.6,previous,unemployed,7000,high
10181,830,230000,0.1,23000,23000,5,on time,23000,1900,0.2,none,employed,22000,low
10182,790,180000,0.18,32000,24000,8,late,24000,1600,0.45,previous,self-employed,18000,medium
10183,950,290000,0.03,11000,29000,1,on time,29000,2500,0.08,none,employed,28000,low
10184,780,260000,0.05,14000,26000,3,on time,26000,2200,0.12,none,employed,25000,low
10185,820,140000,0.22,31000,22000,9,late,22000,1400,0.45,previous,self-employed,14000,medium
10186,840,200000,0.09,18000,20000,4,on time,20000,1800,0.18,none,employed,20000,low
10187,760,62000,0.26,28000,25000,7,late,25000,1300,0.38,previous,self-employed,8000,medium
10188,900,420000,0.01,12000,42000,2,on time,42000,3500,0.07,none,employed,41000,low
10189,700,48000,0.33,38000,28000,11,late,28000,1200,0.55,previous,unemployed,7000,high
10190,860,220000,0.11,22000,22000,6,on time,22000,1900,0.22,none,employed,21000,low
10191,810,300000,0.04,13000,30000,3,on time,30000,2500,0.11,none,employed,29000,low
10192,830,150000,0.23,35000,24000,10,late,24000,1400,0.48,previous,self-employed,15000,medium
10193,920,340000,0.02,14000,34000,2,on time,34000,2800,0.09,none,employed,33000,low
10194,800,240000,0.06,16000,24000,5,on time,24000,2000,0.14,none,employed,23000,low
10195,890,410000,0.03,16000,41000,1,on time,41000,3300,0.1,none,employed,40000,low
10196,850,290000,0.05,19000,29000,4,on time,29000,2400,0.13,none,employed,28000,low
10197,910,420000,0.01,18000,42000,2,on time,42000,3500,0.08,none,employed,41000,low
10198,830,380000,0.04,14000,38000,3,on time,38000,3200,0.12,none,employed,37000,low
10199,890,310000,0.03,17000,31000,1,on time,31000,2600,0.1,none,employed,30000,low
10200,820,220000,0.11,22000,22000,6,on time,22000,1900,0.22,none,employed,21000,low
10201,840,320000,0.05,18000,32000,4,on time,32000,2600,0.13,none,employed,31000,low
10202,860,260000,0.06,19000,26000,5,on time,26000,2200,0.14,none,employed,25000,low
10203,920,400000,0.02,16000,40000,2,on time,40000,3300,0.09,none,employed,39000,low
10204,880,350000,0.03,18000,35000,1,on time,35000,2900,0.1,none,employed,34000,low
10205,810,270000,0.05,19000,27000,5,on time,27000,2300,0.13,none,employed,26000,low
10206,850,300000,0.04,17000,30000,3,on time,30000,2500,0.11,none,employed,29000,low
10207,930,420000,0.01,14000,42000,2,on time,42000,3500,0.08,none,employed,41000,low
10208,860,380000,0.03,20000,38000,1,on time,38000,3100,0.1,none,employed,37000,low
10209,840,290000,0.06,22000,29000,5,on time,29000,2400,0.14,none,employed,28000,low
10210,890,240000,0.08,24000,24000,6,on time,24000,2000,0.17,none,employed,23000,low
10211,820,410000,0.02,16000,41000,2,on time,41000,3400,0.09,none,employed,40000,low
10212,880,330000,0.04,21000,33000,3,on time,33000,2700,0.11,none,employed,32000,low
10213,830,220000,0.11,22000,22000,6,on time,22000,1900,0.22,none,employed,21000,low
10214,900,280000,0.05,23000,28000,4,on time,28000,2300,0.13,none,employed,27000,low
10215,910,360000,0.03,19000,36000,1,on time,36000,3000,0.1,none,employed,35000,low
10216,850,400000,0.02,14000,40000,2,on time,40000,3300,0.08,none,employed,39000,low
10217,830,380000,0.04,20000,38000,1,on time,38000,3100,0.1,none,employed,37000,low
10218,890,310000,0.03,22000,31000,3,on time,31000,2600,0.11,none,employed,30000,low
10219,860,240000,0.06,24000,24000,5,on time,24000,2000,0.14,none,employed,23000,low
10220,880,410000,0.02,16000,41000,2,on time,41000,3400,0.09,none,employed,40000,low
10221,820,330000,0.04,21000,33000,3,on time,33000,2700,0.11,none,employed,32000,low
10222,840,220000,0.11,22000,22000,6,on time,22000,1900,0.22,none,employed,21000,low
10223,850,280000,0.05,23000,28000,4,on time,28000,2300,0.13,none,employed,27000,low
10224,890,360000,0.03,19000,36000,1,on time,36000,3000,0.1,none,employed,35000,low
10225,920,400000,0.02,14000,40000,2,on time,40000,3300,0.08,none,employed,39000,low
10226,840,420000,0.04,25000,42000,3,on time,42000,3500,0.12,none,employed,41000,low
10227,830,380000,0.06,27000,38000,5,on time,38000,3100,0.15,none,employed,37000,low
10228,910,440000,0.02,18000,44000,2,on time,44000,3600,0.09,none,employed,43000,low
10229,860,340000,0.03,22000,34000,4,on time,34000,2800,0.11,none,employed,33000,low
10230,880,460000,0.04,28000,46000,6,on time,46000,3800,0.13,none,employed,45000,low
10231,850,420000,0.05,29000,42000,7,on time,42000,3500,0.16,none,employed,41000,low
10232,920,500000,0.02,20000,50000,3,on time,50000,4100,0.08,none,employed,49000,low
10233,890,360000,0.04,24000,36000,5,on time,36000,3000,0.12,none,employed,35000,low
10234,840,440000,0.06,26000,44000,4,on time,44000,3600,0.15,none,employed,43000,low
10235,820,380000,0.03,21000,38000,6,on time,38000,3100,0.11,none,employed,37000,low
10236,890,420000,0.02,22000,42000,2,on time,42000,3500,0.09,none,employed,41000,low
10237,850,460000,0.05,29000,46000,7,on time,46000,3800,0.13,none,employed,45000,low
10238,920,540000,0.02,22000,54000,3,on time,54000,4400,0.08,none,employed,53000,low
10239,890,480000,0.04,24000,48000,5,on time,48000,4000,0.12,none,employed,47000,low
10240,840,400000,0.06,26000,40000,4,on time,40000,3300,0.15,none,employed,39000,low
10241,820,420000,0.03,23000,42000,6,on time,42000,3500,0.11,none,employed,41000,low
10242,890,460000,0.02,24000,46000,2,on time,46000,3800,0.09,none,employed,45000,low
10243,850,540000,0.05,29000,54000,7,on time,54000,4400,0.13,none,employed,53000,low
10244,920,620000,0.02,24000,62000,3,on time,62000,5000,0.08,none,employed,61000,low
10245,890,580000,0.04,26000,58000,5,on time,58000,4700,0.12,none,employed,57000,low
10246,860,500000,0.03,27000,50000,4,on time,50000,4200,0.14,none,employed,49000,low
